Season,Region,Rating,Rank,Race
44,KR,2279,Silver,Terran
44,KR,2279,Silver,Terran
44,KR,2279,Silver,Zerg
44,KR,2279,Silver,Zerg
44,KR,2279,Silver,Terran
44,KR,2279,Silver,Protoss
44,KR,2279,Silver,Zerg
44,KR,2279,Silver,Terran
44,KR,2278,Silver,Protoss
44,KR,2278,Silver,Protoss
44,KR,2278,Silver,Protoss
44,KR,2278,Silver,Terran
44,KR,2278,Silver,Terran
44,KR,2278,Silver,Zerg
44,KR,2278,Silver,Zerg
44,KR,2278,Silver,Zerg
44,KR,2278,Silver,Terran
44,KR,2278,Silver,Terran
44,KR,2278,Silver,Protoss
44,KR,2278,Silver,Protoss
44,KR,2278,Silver,Terran
44,KR,2277,Silver,Terran
44,KR,2277,Silver,Zerg
44,KR,2277,Silver,Random
44,KR,2277,Silver,Protoss
44,KR,2277,Silver,Protoss
44,KR,2277,Silver,Terran
44,KR,2277,Silver,Zerg
44,KR,2277,Silver,Terran
44,KR,2275,Silver,Terran
44,KR,2275,Silver,Protoss
44,KR,2275,Silver,Random
44,KR,2275,Silver,Protoss
44,KR,2275,Silver,Zerg
44,KR,2275,Silver,Terran
44,KR,2275,Silver,Terran
44,KR,2275,Silver,Terran
44,KR,2275,Silver,Zerg
44,KR,2275,Silver,Terran
44,KR,2275,Silver,Terran
44,KR,2275,Silver,Protoss
44,KR,2275,Silver,Terran
44,KR,2275,Silver,Zerg
44,KR,2275,Silver,Protoss
44,KR,2274,Silver,Zerg
44,KR,2274,Silver,Zerg
44,KR,2274,Silver,Protoss
44,KR,2274,Silver,Protoss
44,KR,2274,Silver,Protoss
44,KR,2274,Silver,Zerg
44,KR,2274,Silver,Protoss
44,KR,2274,Silver,Random
44,KR,2274,Silver,Terran
44,KR,2274,Silver,Terran
44,KR,2274,Silver,Terran
44,KR,2274,Silver,Protoss
44,KR,2274,Silver,Zerg
44,KR,2274,Silver,Zerg
44,KR,2273,Silver,Protoss
44,KR,2273,Silver,Terran
44,KR,2273,Silver,Terran
44,KR,2273,Silver,Protoss
44,KR,2273,Silver,Terran
44,KR,2273,Silver,Protoss
44,KR,2273,Silver,Zerg
44,KR,2273,Silver,Zerg
44,KR,2273,Silver,Zerg
44,KR,2273,Silver,Protoss
44,KR,2273,Silver,Terran
44,KR,2273,Silver,Terran
44,KR,2273,Silver,Terran
44,KR,2272,Silver,Zerg
44,KR,2272,Silver,Zerg
44,KR,2272,Silver,Terran
44,KR,2272,Silver,Protoss
44,KR,2272,Silver,Zerg
44,KR,2272,Silver,Terran
44,KR,2272,Silver,Protoss
44,KR,2272,Silver,Protoss
44,KR,2272,Silver,Protoss
44,KR,2271,Silver,Protoss
44,KR,2271,Silver,Zerg
44,KR,2271,Silver,Zerg
44,KR,2271,Silver,Terran
44,KR,2271,Silver,Protoss
44,KR,2271,Silver,Terran
44,KR,2271,Silver,Zerg
44,KR,2271,Silver,Terran
44,KR,2271,Silver,Terran
44,KR,2271,Silver,Protoss
44,KR,2271,Silver,Protoss
44,KR,2270,Silver,Terran
44,KR,2270,Silver,Zerg
44,KR,2270,Silver,Zerg
44,KR,2270,Silver,Terran
44,KR,2270,Silver,Protoss
44,KR,2270,Silver,Zerg
44,KR,2270,Silver,Protoss
44,KR,2270,Silver,Protoss
44,KR,2270,Silver,Terran
44,KR,2270,Silver,Terran
44,KR,2270,Silver,Zerg
44,KR,2270,Silver,Terran
44,KR,2270,Silver,Terran
44,KR,2269,Silver,Zerg
44,KR,2269,Silver,Protoss
44,KR,2269,Silver,Terran
44,KR,2269,Silver,Terran
44,KR,2269,Silver,Protoss
44,KR,2269,Silver,Zerg
44,KR,2269,Silver,Zerg
44,KR,2269,Silver,Terran
44,KR,2269,Silver,Random
44,KR,2269,Silver,Terran
44,KR,2269,Silver,Zerg
44,KR,2269,Silver,Terran
44,KR,2269,Silver,Protoss
44,KR,2268,Silver,Terran
44,KR,2268,Silver,Protoss
44,KR,2268,Silver,Terran
44,KR,2268,Silver,Zerg
44,KR,2268,Silver,Terran
44,KR,2268,Silver,Protoss
44,KR,2268,Silver,Protoss
44,KR,2268,Silver,Terran
44,KR,2268,Silver,Terran
44,KR,2268,Silver,Terran
44,KR,2268,Silver,Protoss
44,KR,2267,Silver,Zerg
44,KR,2265,Silver,Protoss
44,KR,2265,Silver,Zerg
44,KR,2265,Silver,Zerg
44,KR,2265,Silver,Terran
44,KR,2265,Silver,Terran
44,KR,2265,Silver,Protoss
44,KR,2265,Silver,Protoss
44,KR,2265,Silver,Protoss
44,KR,2265,Silver,Terran
44,KR,2265,Silver,Terran
44,KR,2265,Silver,Zerg
44,KR,2265,Silver,Terran
44,KR,2265,Silver,Terran
44,KR,2264,Silver,Random
44,KR,2264,Silver,Terran
44,KR,2264,Silver,Terran
44,KR,2264,Silver,Zerg
44,KR,2264,Silver,Protoss
44,KR,2264,Silver,Protoss
44,KR,2264,Silver,Terran
44,KR,2264,Silver,Zerg
44,KR,2264,Silver,Terran
44,KR,2264,Silver,Terran
44,KR,2264,Silver,Zerg
44,KR,2264,Silver,Zerg
44,KR,2264,Silver,Protoss
44,KR,2264,Silver,Terran
44,KR,2263,Silver,Protoss
44,KR,2263,Silver,Protoss
44,KR,2263,Silver,Zerg
44,KR,2263,Silver,Protoss
44,KR,2263,Silver,Zerg
44,KR,2263,Silver,Terran
44,KR,2263,Silver,Protoss
44,KR,2263,Silver,Terran
44,KR,2263,Silver,Zerg
44,KR,2263,Silver,Terran
44,KR,2263,Silver,Terran
44,KR,2263,Silver,Terran
44,KR,2263,Silver,Random
44,KR,2263,Silver,Protoss
44,KR,2262,Silver,Protoss
44,KR,2262,Silver,Protoss
44,KR,2262,Silver,Zerg
44,KR,2262,Silver,Terran
44,KR,2262,Silver,Protoss
44,KR,2262,Silver,Terran
44,KR,2262,Silver,Terran
44,KR,2262,Silver,Protoss
44,KR,2262,Silver,Protoss
44,KR,2262,Silver,Random
44,KR,2262,Silver,Terran
44,KR,2262,Silver,Protoss
44,KR,2262,Silver,Terran
44,KR,2261,Silver,Zerg
44,KR,2261,Silver,Terran
44,KR,2261,Silver,Zerg
44,KR,2261,Silver,Zerg
44,KR,2261,Silver,Protoss
44,KR,2261,Silver,Terran
44,KR,2261,Silver,Protoss
44,KR,2261,Silver,Zerg
44,KR,2260,Silver,Terran
44,KR,2260,Silver,Protoss
44,KR,2260,Silver,Random
44,KR,2260,Silver,Zerg
44,KR,2260,Silver,Terran
44,KR,2260,Silver,Protoss
44,KR,2260,Silver,Zerg
44,KR,2259,Silver,Zerg
44,KR,2259,Silver,Zerg
44,KR,2259,Silver,Protoss
44,KR,2259,Silver,Terran
44,KR,2259,Silver,Zerg
44,KR,2259,Silver,Random
44,KR,2259,Silver,Terran
44,KR,2259,Silver,Terran
44,KR,2259,Silver,Protoss
44,KR,2259,Silver,Zerg
44,KR,2259,Silver,Terran
44,KR,2258,Silver,Zerg
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Protoss
44,KR,2258,Silver,Zerg
44,KR,2258,Silver,Protoss
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Protoss
44,KR,2258,Silver,Protoss
44,KR,2258,Silver,Protoss
44,KR,2258,Silver,Protoss
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Terran
44,KR,2258,Silver,Protoss
44,KR,2258,Silver,Terran
44,KR,2257,Silver,Zerg
44,KR,2257,Silver,Zerg
44,KR,2255,Silver,Zerg
44,KR,2255,Silver,Terran
44,KR,2255,Silver,Protoss
44,KR,2255,Silver,Zerg
44,KR,2255,Silver,Protoss
44,KR,2255,Silver,Zerg
44,KR,2255,Silver,Terran
44,KR,2255,Silver,Terran
44,KR,2255,Silver,Protoss
44,KR,2255,Silver,Terran
44,KR,2255,Silver,Zerg
44,KR,2255,Silver,Random
44,KR,2255,Silver,Zerg
44,KR,2255,Silver,Protoss
44,KR,2255,Silver,Protoss
44,KR,2255,Silver,Terran
44,KR,2255,Silver,Terran
44,KR,2255,Silver,Zerg
44,KR,2254,Silver,Protoss
44,KR,2254,Silver,Protoss
44,KR,2254,Silver,Protoss
44,KR,2254,Silver,Random
44,KR,2254,Silver,Terran
44,KR,2254,Silver,Random
44,KR,2254,Silver,Zerg
44,KR,2254,Silver,Zerg
44,KR,2254,Silver,Terran
44,KR,2254,Silver,Zerg
44,KR,2254,Silver,Zerg
44,KR,2254,Silver,Protoss
44,KR,2254,Silver,Protoss
44,KR,2254,Silver,Protoss
44,KR,2254,Silver,Protoss
44,KR,2254,Silver,Zerg
44,KR,2253,Silver,Zerg
44,KR,2253,Silver,Terran
44,KR,2253,Silver,Terran
44,KR,2253,Silver,Zerg
